,체결시간,시가,고가,저가,현재가,거래량,20이평,60이평,120이평,RSI14
0,20240223145948,36400,36450,36350,36350,1655,36495.0,36685.0,36495.416666666664,44.56204226338007
1,20240223145924,36500,36550,36400,36400,3670,36502.5,36695.0,36489.166666666664,46.03961162779596
2,20240223145822,36350,36600,36300,36550,3835,36515.0,36703.333333333336,36480.416666666664,50.72495035547275
3,20240223145740,36550,36550,36250,36300,5367,36522.5,36709.166666666664,36471.25,41.513474183751676
4,20240223145633,36200,36600,36200,36550,3839,36532.5,36720.0,36464.583333333336,50.23333349908396
5,20240223145608,36400,36400,36200,36350,13692,36532.5,36725.833333333336,36454.583333333336,41.03221770075243
6,20240223145544,36350,36500,36300,36350,2914,36532.5,36734.166666666664,36446.25,41.03221770075243
7,20240223145508,36600,36650,36300,36350,13762,36530.0,36741.666666666664,36438.75,41.03221770075243
8,20240223145456,36600,36600,36500,36600,3738,36532.5,36748.333333333336,36432.5,50.34854749251363
9,20240223145415,36550,36600,36450,36600,2376,36517.5,36746.666666666664,36425.833333333336,50.34854749251363
10,20240223145312,36450,36500,36350,36500,6405,36512.5,36745.0,36415.833333333336,46.13005774232299
11,20240223145238,36600,36600,36400,36450,2302,36520.0,36746.666666666664,36406.666666666664,43.91780169992301
12,20240223145154,36600,36650,36500,36550,1966,36527.5,36747.5,36398.75,47.54380439643522
13,20240223145111,36750,36800,36600,36650,3546,36527.5,36745.0,36390.0,51.49144813273045
14,20240223145054,36600,36750,36600,36750,3591,36525.0,36740.0,36381.666666666664,55.79314905345699
15,20240223145042,36500,36600,36400,36600,3526,36527.5,36730.0,36372.916666666664,49.971755724815644
16,20240223145008,36450,36500,36400,36500,3196,36540.0,36725.0,36365.833333333336,45.53151274830876
17,20240223144931,36550,36550,36450,36450,2086,36555.0,36722.5,36359.166666666664,43.19053382525264
18,20240223144833,36450,36550,36400,36550,2021,36570.0,36721.666666666664,36352.916666666664,46.93691576007751
19,20240223144801,36600,36600,36350,36500,4521,36575.0,36718.333333333336,36345.833333333336,44.7102585743249
20,20240223144727,36700,36700,36450,36500,2044,36587.5,36717.5,36337.916666666664,44.7102585743249
21,20240223144654,36750,36800,36650,36650,2823,36610.0,36718.333333333336,36329.583333333336,50.15429310064674
22,20240223144636,36500,36750,36450,36700,5388,36627.5,36715.833333333336,36320.0,52.11855840636433
23,20240223144615,36550,36600,36350,36500,3299,36645.0,36710.0,36310.416666666664,43.96764638701619
24,20240223144537,36350,36650,36350,36550,2582,36675.0,36710.0,36301.25,45.776645169704274
25,20240223144511,36350,36450,36250,36350,3610,36707.5,36711.666666666664,36291.666666666664,35.99546892424277
26,20240223144458,36400,36450,36300,36300,3017,36747.5,36716.666666666664,36283.75,33.198106086760944
27,20240223144436,36300,36450,36300,36400,3089,36785.0,36722.5,36276.25,36.13075761799912
28,20240223144426,36500,36550,36300,36300,4524,36815.0,36725.833333333336,36267.916666666664,30.423534767955147
29,20240223144415,36700,36700,36500,36500,3969,36850.0,36727.5,36259.166666666664,36.47689035829858
30,20240223144353,36550,36750,36500,36650,2533,36875.0,36725.833333333336,36248.333333333336,42.344482600213034
31,20240223144326,36600,36750,36450,36600,6017,36887.5,36722.5,36236.25,39.32343794046707
32,20240223144313,36600,36650,36550,36550,1971,36902.5,36720.0,36225.0,36.220202516651945
33,20240223144259,36750,36800,36600,36600,4764,36912.5,36718.333333333336,36213.75,38.02609025748742
34,20240223144252,36850,36850,36750,36800,1822,36920.0,36715.0,36202.5,46.668601918255455
35,20240223144231,36850,36900,36750,36850,2721,36920.0,36707.5,36190.416666666664,49.26803641773939
36,20240223144216,36800,36900,36750,36800,1753,36925.0,36700.0,36176.666666666664,46.500998697925425
37,20240223144202,36650,36900,36550,36750,2154,36932.5,36690.833333333336,36162.916666666664,43.64691697165078
38,20240223144149,36750,36850,36550,36650,3511,36942.5,36682.5,36150.0,37.44971999232697
39,20240223144142,36950,36950,36750,36750,3370,36960.0,36675.833333333336,36139.583333333336,41.70885278479343
40,20240223144131,36900,37000,36850,36950,1051,36972.5,36666.666666666664,36128.75,52.8771172185738
41,20240223144120,37100,37100,36850,37000,4195,36972.5,36653.333333333336,36117.083333333336,56.38182573510429
42,20240223144111,37100,37100,37000,37050,7259,36967.5,36636.666666666664,36103.75,60.07947377580972
43,20240223144105,37200,37200,37100,37100,2058,36960.0,36618.333333333336,36090.0,63.97543857366298
44,20240223144100,37100,37200,37100,37200,3037,36952.5,36596.666666666664,36077.083333333336,72.7348921556418
45,20240223144056,37050,37150,37000,37150,3777,36937.5,36573.333333333336,36063.333333333336,70.88400154465492
46,20240223144051,37000,37050,37000,37050,3944,36922.5,36553.333333333336,36049.166666666664,66.68375379648353
47,20240223144048,37000,37000,36950,37000,3174,36910.0,36535.833333333336,36037.5,64.29213224299667
48,20240223144046,36950,37000,36950,37000,3478,36897.5,36518.333333333336,36027.083333333336,64.29213224299667
49,20240223144044,36900,37000,36900,37000,4602,36872.5,36503.333333333336,36017.083333333336,64.29213224299667
50,20240223144037,36900,36950,36850,36900,3108,36847.5,36485.833333333336,36007.5,59.65436562943841
51,20240223144027,36750,36900,36750,36900,2601,36832.5,36468.333333333336,35998.75,59.65436562943841
52,20240223144016,36750,36750,36650,36750,1194,36812.5,36450.0,35990.833333333336,51.508607283196916
53,20240223144008,36800,36900,36700,36750,1625,36795.0,36433.333333333336,35983.75,51.508607283196916
54,20240223144002,36950,36950,36800,36800,1131,36775.0,36419.166666666664,35977.916666666664,54.68172790628649
55,20240223143956,36900,37000,36800,36950,5544,36742.5,36402.5,35971.666666666664,66.00966644100393
56,20240223143952,36950,37000,36900,36950,2044,36710.0,36385.0,35965.0,66.00966644100393
57,20240223143946,36950,37000,36900,36950,2153,36680.0,36366.666666666664,35958.333333333336,66.00966644100392
58,20240223143942,36950,37000,36900,37000,3177,36652.5,36348.333333333336,35952.5,69.87281669774643
59,20240223143937,36950,37000,36950,37000,1907,36620.0,36328.333333333336,35946.666666666664,69.87281669774643
60,20240223143933,36900,36950,36900,36950,3302,36592.5,36305.833333333336,35940.0,68.27174460345918
61,20240223143928,36900,36950,36800,36900,3624,36572.5,36283.333333333336,35933.75,66.62474989533828
62,20240223143923,36950,36950,36850,36900,4249,36552.5,36257.5,35927.5,66.62474989533828
63,20240223143918,36900,36950,36850,36950,3055,36525.0,36233.333333333336,35922.083333333336,69.74650698450495
64,20240223143916,36900,36900,36800,36900,6392,36502.5,36209.166666666664,35915.833333333336,68.37033264357838
65,20240223143912,36800,36900,36700,36850,4241,36490.0,36183.333333333336,35910.416666666664,66.97540812762793
66,20240223143908,36800,36800,36750,36800,2347,36480.0,36158.333333333336,35905.0,65.56524824403024
67,20240223143905,36550,36750,36500,36750,8464,36472.5,36135.833333333336,35898.333333333336,64.14352928928518
68,20240223143842,36500,36550,36250,36500,2695,36465.0,36116.666666666664,35891.25,55.640134593397505
69,20240223143808,36600,36600,36500,36500,2878,36460.0,36105.0,35887.916666666664,55.640134593397505
70,20240223143741,36500,36600,36500,36600,2801,36455.0,36086.666666666664,35884.583333333336,60.5964955911695
71,20240223143720,36400,36500,36350,36500,3802,36447.5,36066.666666666664,35877.5,57.043283304897386
72,20240223143649,36350,36450,36200,36400,4817,36445.0,36050.0,35870.416666666664,53.11763750228093
73,20240223143604,36250,36350,36100,36350,3801,36447.5,36035.0,35863.333333333336,51.04031478561916
74,20240223143542,36300,36350,36150,36150,4066,36450.0,36023.333333333336,35857.5,41.39531756739482
75,20240223143508,36350,36400,36250,36300,1721,36460.0,36015.833333333336,35853.333333333336,47.977636469996106
76,20240223143424,36350,36400,36250,36350,2882,36465.0,36006.666666666664,35847.083333333336,50.461224436850024
77,20240223143353,36350,36400,36300,36400,2517,36460.0,35995.833333333336,35839.166666666664,53.00927399439791
78,20240223143316,36400,36500,36350,36350,3309,36452.5,35984.166666666664,35830.833333333336,50.69756159847814
79,20240223143234,36500,36550,36300,36450,4917,36447.5,35973.333333333336,35821.666666666664,55.79513246629537
80,20240223143205,36450,36550,36400,36550,2307,36435.0,35958.333333333336,35812.5,61.541006665013015
81,20240223143124,36350,36500,36300,36500,2377,36415.0,35940.833333333336,35803.75,59.60983561697158
82,20240223143058,36450,36500,36350,36350,2248,36390.0,35924.166666666664,35795.416666666664,53.04117854153021
83,20240223143043,36650,36650,36450,36500,5541,36370.0,35910.833333333336,35788.75,62.47589292793374
84,20240223143030,36600,36650,36550,36650,4576,36335.0,35892.5,35781.666666666664,74.83665600113825
85,20240223143019,36700,36700,36600,36650,2382,36292.5,35871.666666666664,35774.583333333336,74.83665600113825
86,20240223143007,36600,36700,36600,36650,5056,36257.5,35850.833333333336,35769.166666666664,74.83665600113825
87,20240223143000,36450,36600,36450,36600,10856,36225.0,35830.0,35763.75,73.43388917969779
